Ticker,Year,Mois,Monthly_Performance,CAC40_Monthly_Performance,Monthly_Beta
AI.PA,2022,6,-11.763086907738025,-7.72766417359285,1.0581076603148791
AI.PA,2022,7,5.656209656286587,8.724240461138319,1.1870322066171426
AI.PA,2022,8,-5.5379483248084505,-4.843351762299786,1.1684441638855163
AI.PA,2022,9,-4.855940529745253,-4.507063975879467,1.0117166552911618
AI.PA,2022,10,12.30899798332699,8.156850015156216,1.1871353246810723
AI.PA,2022,11,4.839202867133952,6.483621928455734,0.742513020633381
AI.PA,2022,12,-5.103218289810461,-4.148825658172266,0.8913176141441614
AI.PA,2023,1,8.192590784143519,7.397754677865512,0.7096745585962708
AI.PA,2023,2,3.363994077503249,2.696302815504514,0.7414273926005851
AI.PA,2023,3,3.2681418327468394,1.2183728336558732,0.6387172132671306
