Date,^FCHI,ACA.PA,AI.PA,AIR.PA,ALO.PA,BN.PA,BNP.PA,CA.PA,CAP.PA,CS.PA,DG.PA,DSY.PA,EL.PA,EN.PA,ENGI.PA,ERF.PA,GLE.PA,HO.PA,KER.PA,LR.PA,MC.PA,ML.PA,MT.AS,OR.PA,ORA.PA,PUB.PA,RI.PA,RMS.PA,RNO.PA,SAF.PA,SAN.PA,SGO.PA,STMPA.PA,SU.PA,TEP.PA,TTE.PA,VIE.PA,VIV.PA,Date
2019-05-16,5448.10986328125,11.319999694824219,97.68595123291016,122.5,39.33000183105469,71.16000366210938,45.95000076293945,17.549999237060547,107.05000305175781,22.610000610351562,89.19999694824219,27.729999542236328,109.94999694824219,33.38999938964844,13.819999694824219,41.599998474121094,25.9950008392334,102.19999694824219,521.9000244140625,61.70000076293945,341.20001220703125,27.837499618530273,15.206000328063965,244.5,13.779999732971191,50.720001220703125,158.89999389648438,615.0,52.0,126.1500015258789,75.04000091552734,34.4900016784668,15.765000343322754,73.26000213623047,171.0,48.60499954223633,20.1299991607666,24.979999542236328,2019-05-16
2019-05-17,5438.22998046875,11.199999809265137,97.60330200195312,121.0,39.400001525878906,71.19999694824219,45.375,17.350000381469727,106.25,22.604999542236328,89.4800033569336,28.260000228881836,109.94999694824219,32.95000076293945,13.579999923706055,41.599998474121094,25.71500015258789,101.9000015258789,522.0,61.619998931884766,340.8500061035156,27.5,14.621999740600586,243.60000610351562,13.824999809265137,50.5,160.5500030517578,620.0,51.689998626708984,125.75,75.2300033569336,34.099998474121094,15.585000038146973,72.68000030517578,169.3000030517578,49.16999816894531,20.09000015258789,24.899999618530273,2019-05-17
2019-05-20,5358.58984375,11.069999694824219,93.51239776611328,119.08000183105469,39.04999923706055,70.54000091552734,44.625,17.059999465942383,103.80000305175781,22.415000915527344,88.91999816894531,27.5,108.44999694824219,32.439998626708984,13.555000305175781,40.81999969482422,25.084999084472656,101.5,503.20001220703125,60.81999969482422,330.04998779296875,27.0,14.425999641418457,241.1999969482422,13.960000038146973,50.31999969482422,158.8000030517578,603.4000244140625,50.63999938964844,124.80000305175781,74.33999633789062,33.974998474121094,14.170000076293945,72.22000122070312,166.8000030517578,49.224998474121094,20.020000457763672,24.559999465942383,2019-05-20
2019-05-21,5385.4599609375,11.204999923706055,93.67768859863281,118.26000213623047,39.630001068115234,71.19999694824219,44.994998931884766,17.1200008392334,104.8499984741211,22.579999923706055,89.4000015258789,27.84000015258789,107.1500015258789,32.59000015258789,12.835000038146973,41.599998474121094,25.239999771118164,101.6500015258789,510.1000061035156,61.52000045776367,335.1499938964844,26.462499618530273,14.95199966430664,241.3000030517578,13.885000228881836,50.540000915527344,160.8000030517578,615.2000122070312,51.380001068115234,123.1500015258789,73.94999694824219,33.84000015258789,14.760000228881836,73.18000030517578,169.0,49.76499938964844,20.260000228881836,24.649999618530273,2019-05-21
2019-05-22,5378.97998046875,10.979999542236328,94.79338836669922,118.22000122070312,39.880001068115234,71.0199966430664,44.5099983215332,17.059999465942383,106.69999694824219,22.434999465942383,89.41999816894531,28.049999237060547,106.80000305175781,32.31999969482422,12.819999694824219,41.880001068115234,25.024999618530273,101.1500015258789,508.5,62.099998474121094,336.29998779296875,26.462499618530273,14.661999702453613,243.10000610351562,13.869999885559082,50.84000015258789,161.89999389648438,617.5999755859375,50.95000076293945,123.5,74.9000015258789,33.650001525878906,14.555000305175781,73.12000274658203,174.39999389648438,49.005001068115234,20.350000381469727,24.549999237060547,2019-05-22
2019-05-23,5281.3701171875,10.675000190734863,92.97520446777344,114.87999725341797,39.66999816894531,70.80000305175781,43.650001525878906,16.860000610351562,102.6500015258789,22.155000686645508,88.41999816894531,27.420000076293945,105.9000015258789,31.700000762939453,12.550000190734863,40.880001068115234,24.600000381469727,99.16000366210938,491.20001220703125,61.18000030517578,334.0,25.887500762939453,14.010000228881836,242.10000610351562,13.779999732971191,49.650001525878906,161.75,605.0,49.970001220703125,119.3499984741211,74.9000015258789,33.125,13.729999542236328,71.9000015258789,171.89999389648438,47.38999938964844,20.09000015258789,23.56999969482422,2019-05-23
2019-05-24,5316.509765625,10.1850004196167,93.9669418334961,116.54000091552734,39.869998931884766,71.80000305175781,43.904998779296875,16.68000030517578,103.4000015258789,22.30500030517578,90.04000091552734,27.350000381469727,106.0999984741211,31.899999618530273,12.619999885559082,41.84000015258789,24.655000686645508,99.12000274658203,482.70001220703125,61.439998626708984,336.5,26.375,14.142000198364258,243.1999969482422,13.949999809265137,49.38999938964844,162.8000030517578,603.0,49.98500061035156,121.9000015258789,75.16000366210938,33.20000076293945,13.65999984741211,73.9000015258789,172.89999389648438,47.55500030517578,20.389999389648438,23.600000381469727,2019-05-24
2019-05-27,5336.18994140625,10.350000381469727,94.58677673339844,116.83999633789062,40.34000015258789,71.95999908447266,44.20000076293945,16.770000457763672,103.55000305175781,22.3799991607666,90.44000244140625,27.200000762939453,106.19999694824219,31.84000015258789,12.75,41.599998474121094,23.045000076293945,98.80000305175781,485.95001220703125,61.58000183105469,338.6499938964844,26.475000381469727,14.244000434875488,244.5,14.020000457763672,49.56999969482422,163.0500030517578,606.0,56.029998779296875,121.80000305175781,75.56999969482422,33.224998474121094,13.704999923706055,73.83999633789062,174.5,47.849998474121094,20.68000030517578,23.399999618530273,2019-05-27
2019-05-28,5312.68994140625,10.3100004196167,93.388427734375,116.31999969482422,40.5099983215332,72.26000213623047,44.28499984741211,16.895000457763672,102.0999984741211,22.19499969482422,89.5999984741211,26.719999313354492,104.0,31.450000762939453,12.699999809265137,41.52000045776367,22.594999313354492,98.68000030517578,479.25,61.959999084472656,342.6000061035156,26.725000381469727,14.12399959564209,243.5,14.029999732971191,50.119998931884766,162.5,605.2000122070312,56.5,119.25,74.23999786376953,33.11000061035156,13.539999961853027,73.68000030517578,177.10000610351562,47.52000045776367,20.760000228881836,23.6299991607666,2019-05-28
2019-05-29,5222.1201171875,10.220000267028809,92.52066040039062,114.37999725341797,40.630001068115234,71.4000015258789,41.32500076293945,16.829999923706055,100.30000305175781,22.059999465942383,88.08000183105469,26.450000762939453,103.19999694824219,31.5,12.520000457763672,41.380001068115234,22.549999237060547,97.4000015258789,461.1000061035156,60.63999938964844,338.20001220703125,25.787500381469727,13.53600025177002,240.3000030517578,13.9350004196167,49.0,160.75,595.4000244140625,56.849998474121094,117.1500015258789,73.26000213623047,32.41999816894531,13.494999885559082,71.23999786376953,171.0,46.834999084472656,20.540000915527344,23.649999618530273,2019-05-29
2019-05-30,5248.91015625,10.319999694824219,93.34710693359375,115.23999786376953,40.75,71.83999633789062,41.349998474121094,16.8700008392334,100.80000305175781,22.170000076293945,88.81999969482422,26.600000381469727,103.6500015258789,31.8799991607666,12.5,41.36000061035156,22.565000534057617,98.68000030517578,474.54998779296875,60.97999954223633,341.6499938964844,25.899999618530273,13.52400016784668,241.89999389648438,14.045000076293945,49.52000045776367,161.8000030517578,598.5999755859375,56.4900016784668,118.0999984741211,73.19000244140625,32.775001525878906,13.585000038146973,71.62000274658203,172.89999389648438,46.84000015258789,20.520000457763672,24.100000381469727,2019-05-30
2019-05-31,5207.6298828125,10.229999542236328,92.14875793457031,114.86000061035156,40.880001068115234,71.4000015258789,40.875,16.84000015258789,100.0999984741211,22.079999923706055,88.45999908447266,26.56999969482422,103.1500015258789,31.329999923706055,12.449999809265137,40.720001220703125,22.459999084472656,98.55999755859375,465.95001220703125,60.13999938964844,338.6000061035156,25.737499237060547,13.260000228881836,240.39999389648438,14.039999961853027,48.900001525878906,157.8000030517578,594.7999877929688,53.91999816894531,117.69999694824219,72.23999786376953,32.415000915527344,13.694999694824219,70.80000305175781,172.0,46.63999938964844,20.709999084472656,24.1299991607666,2019-05-31
2019-06-03,5241.4599609375,10.170000076293945,93.26446533203125,117.16000366210938,40.56999969482422,72.95999908447266,40.814998626708984,16.920000076293945,98.76000213623047,21.799999237060547,88.94000244140625,26.700000762939453,105.0,31.139999389648438,12.515000343322754,39.0,22.395000457763672,99.41999816894531,466.54998779296875,59.459999084472656,340.5,25.462499618530273,13.317999839782715,241.5,14.149999618530273,49.18000030517578,159.0,597.5999755859375,54.25,119.05000305175781,73.75,32.67499923706055,13.744999885559082,71.86000061035156,171.5,46.709999084472656,20.940000534057617,24.40999984741211,2019-06-03
2019-06-04,5268.259765625,10.520000457763672,94.46280670166016,118.4800033569336,40.91999816894531,71.81999969482422,41.994998931884766,17.024999618530273,97.80000305175781,22.290000915527344,89.23999786376953,25.920000076293945,103.55000305175781,31.440000534057617,12.654999732971191,38.5,22.719999313354492,98.27999877929688,468.45001220703125,59.959999084472656,342.1000061035156,26.012500762939453,13.857999801635742,239.8000030517578,13.8100004196167,49.529998779296875,156.3000030517578,595.5999755859375,56.56999969482422,120.3499984741211,73.68000030517578,32.994998931884766,14.130000114440918,72.05999755859375,170.5,47.220001220703125,20.649999618530273,24.25,2019-06-04
2019-06-05,5292.0,10.414999961853027,94.38016510009766,118.69999694824219,41.279998779296875,71.69999694824219,41.72999954223633,16.899999618530273,98.08000183105469,22.200000762939453,89.31999969482422,26.479999542236328,105.9000015258789,31.530000686645508,12.944999694824219,38.29999923706055,22.420000076293945,99.27999877929688,471.3999938964844,60.5,349.5,26.1875,13.510000228881836,242.1999969482422,13.899999618530273,49.25,159.0,606.0,56.20000076293945,120.75,73.70999908447266,33.375,13.994999885559082,72.30000305175781,174.6999969482422,46.875,20.989999771118164,24.520000457763672,2019-06-05
2019-06-06,5278.43017578125,10.239999771118164,94.38016510009766,117.95999908447266,41.56999969482422,71.58000183105469,41.005001068115234,16.514999389648438,97.08000183105469,22.170000076293945,89.13999938964844,26.3700008392334,105.69999694824219,31.18000030517578,12.989999771118164,36.880001068115234,22.30500030517578,100.05000305175781,470.95001220703125,60.380001068115234,350.3500061035156,26.0,13.265999794006348,242.10000610351562,13.625,49.0,157.39999389648438,607.2000122070312,52.599998474121094,119.94999694824219,75.0199966430664,33.11000061035156,13.805000305175781,71.94000244140625,174.5,47.2400016784668,21.040000915527344,24.110000610351562,2019-06-06
2019-06-07,5364.0498046875,10.289999961853027,96.611572265625,120.91999816894531,41.83000183105469,72.26000213623047,40.814998626708984,16.780000686645508,99.36000061035156,22.399999618530273,90.27999877929688,27.06999969482422,107.0,31.649999618530273,13.21500015258789,36.86000061035156,22.104999542236328,102.80000305175781,479.6000061035156,61.939998626708984,357.04998779296875,26.012500762939453,13.484000205993652,245.10000610351562,13.725000381469727,49.58000183105469,160.1999969482422,611.4000244140625,53.689998626708984,122.3499984741211,78.31999969482422,33.564998626708984,14.125,73.16000366210938,175.8000030517578,47.79499816894531,21.34000015258789,24.440000534057617,2019-06-07
2019-06-10,5382.5,10.494999885559082,95.9504165649414,121.05999755859375,42.099998474121094,72.5999984741211,41.47999954223633,16.989999771118164,100.05000305175781,22.420000076293945,90.54000091552734,27.110000610351562,106.80000305175781,31.799999237060547,13.100000381469727,35.65999984741211,22.270000457763672,103.30000305175781,481.75,62.15999984741211,358.20001220703125,26.287500381469727,14.086000442504883,245.1999969482422,13.765000343322754,49.63999938964844,159.39999389648438,610.5999755859375,55.08000183105469,123.30000305175781,77.30000305175781,32.60499954223633,14.475000381469727,74.0199966430664,176.0,48.25,21.290000915527344,24.549999237060547,2019-06-10
2019-06-11,5408.4501953125,10.5,96.85950469970703,123.4000015258789,41.79999923706055,72.37999725341797,41.55500030517578,17.155000686645508,100.9000015258789,22.655000686645508,90.66000366210938,27.290000915527344,106.75,31.8799991607666,13.069999694824219,36.099998474121094,22.299999237060547,103.94999694824219,490.6000061035156,62.959999084472656,359.6000061035156,26.962499618530273,15.013999938964844,245.60000610351562,13.850000381469727,50.439998626708984,159.1999969482422,618.0,55.720001220703125,124.75,76.0999984741211,33.47999954223633,14.795000076293945,74.31999969482422,176.0,48.27000045776367,21.110000610351562,24.200000762939453,2019-06-11
