Ticker,Year,Trimestre,Tri_Performance,CAC40_Tri_Performance,Quarterly_Beta,abs_Beta,Date
ENGI.PA,2021,2,-4.685694208359827,6.633995958992106,0.69,0.69,2021-T2
ENGI.PA,2021,3,-3.324244218004155,-0.5158832482517985,0.56,0.56,2021-T3
ENGI.PA,2021,4,11.958021263557802,9.747929856462608,0.61,0.61,2021-T4
ENGI.PA,2022,1,-9.522362434283052,-7.722503693457224,1.06,1.06,2022-T1
ENGI.PA,2022,2,-8.049640005127419,-11.391604947073542,0.77,0.77,2022-T2
ENGI.PA,2022,3,5.788813197748122,-2.844689029902581,0.7,0.7,2022-T3
ENGI.PA,2022,4,10.571520927827144,11.729241989516805,0.84,0.84,2022-T4
ENGI.PA,2023,1,7.5095944309246,11.03666094833144,0.44,0.44,2023-T1
ENGI.PA,2023,2,3.803678309467639,0.7364605571488261,0.25,0.25,2023-T2
ENGI.PA,2023,3,-3.449171722756217,-0.8392141651334131,0.42,0.42,2023-T3
ERF.PA,2020,1,-10.69307232847308,-27.23462522241993,0.6,0.6,2020-T1
ERF.PA,2020,2,20.98766044119946,17.321330834540717,0.49,0.49,2020-T2
ERF.PA,2020,3,20.5210560530409,-2.5066268610684657,0.41,0.41,2020-T3
ERF.PA,2020,4,-0.5650527508213317,15.078028194161847,-0.23,0.23,2020-T4
ERF.PA,2021,1,12.847844867787977,8.557406438299557,0.46,0.46,2021-T1
ERF.PA,2021,2,15.629121206705335,6.633995958992106,0.12,0.12,2021-T2
ERF.PA,2021,3,16.111457574819575,-0.5158832482517985,-0.08,0.08,2021-T3
ERF.PA,2021,4,2.7578446109617567,9.747929856462608,-0.48,0.48,2021-T4
ERF.PA,2022,1,-15.783063073209528,-7.722503693457224,0.63,0.63,2022-T1
ERF.PA,2022,2,-17.44007057902858,-11.391604947073542,0.4,0.4,2022-T2
ERF.PA,2022,3,-18.76661261667047,-2.844689029902581,0.92,0.92,2022-T3
ERF.PA,2022,4,6.885552700916858,11.729241989516805,1.37,1.37,2022-T4
ERF.PA,2023,1,-6.634349403406048,11.03666094833144,0.8,0.8,2023-T1
ERF.PA,2023,2,-5.46163944302692,0.7364605571488261,0.65,0.65,2023-T2
