Date,^FCHI,ACA.PA,AI.PA,AIR.PA,ALO.PA,BN.PA,BNP.PA,CA.PA,CAP.PA,CS.PA,DG.PA,DSY.PA,EL.PA,EN.PA,ENGI.PA,ERF.PA,GLE.PA,HO.PA,KER.PA,LR.PA,MC.PA,ML.PA,MT.AS,OR.PA,ORA.PA,PUB.PA,RI.PA,RMS.PA,RNO.PA,SAF.PA,SAN.PA,SGO.PA,STMPA.PA,SU.PA,TEP.PA,TTE.PA,VIE.PA,VIV.PA,Date,Year
2008-06-30,4434.85009765625,12.499253273010254,47.372005462646484,12.039999961853027,73.33499908447266,42.084999084472656,57.540000915527344,35.959999084472656,37.439998626708984,18.42768669128418,39.0,3.871999979019165,38.84000015258789,42.15999984741211,40.81999969482422,5.349999904632568,52.40361022949219,36.20000076293945,65.7116928100586,16.010000228881836,66.58000183105469,11.024792671203613,127.96134948730469,69.0999984741211,18.709999084472656,20.579999923706055,61.541507720947266,100.0,52.099998474121094,12.319999694824219,42.43000030517578,39.7400016784668,6.611000061035156,34.30500030517578,23.440000534057617,54.20000076293945,35.630001068115234,23.322587966918945,2008-06-30,2008
2008-07-01,4341.2099609375,11.911846160888672,47.33246612548828,11.890000343322754,73.94499969482422,41.754737854003906,55.95000076293945,34.77000045776367,36.959999084472656,17.636253356933594,37.70000076293945,3.825000047683716,38.34000015258789,41.2599983215332,40.849998474121094,5.306000232696533,50.839744567871094,35.720001220703125,62.74676513671875,16.209999084472656,66.13999938964844,11.090014457702637,121.3799057006836,68.54000091552734,19.15999984741211,20.049999237060547,57.58021545410156,98.2699966430664,51.04999923706055,11.180000305175781,41.72999954223633,38.27000045776367,6.485000133514404,33.64500045776367,23.270000457763672,53.02000045776367,35.0,22.911296844482422,2008-07-01,2008
2008-07-02,4296.47998046875,12.008142471313477,47.12913131713867,11.739999771118164,73.66999816894531,40.48086166381836,56.154998779296875,33.810001373291016,36.58000183105469,17.636253356933594,36.61000061035156,3.755000114440918,37.90999984741211,40.86000061035156,40.45000076293945,5.151000022888184,50.80183410644531,34.59000015258789,61.42695617675781,15.569999694824219,65.7699966430664,11.073104858398438,113.98340606689453,66.75,19.825000762939453,19.520000457763672,56.3258056640625,101.16000366210938,51.369998931884766,10.9399995803833,43.060001373291016,35.95000076293945,6.460000038146973,33.349998474121094,23.0,52.28499984741211,34.650001525878906,22.90645980834961,2008-07-02,2008
2008-07-03,4343.990234375,12.730363845825195,47.83516311645508,12.09000015258789,76.16999816894531,41.26405715942383,58.67499923706055,34.13999938964844,37.79999923706055,18.2860107421875,37.779998779296875,3.8259999752044678,38.279998779296875,42.29999923706055,39.959999084472656,5.133999824523926,53.285057067871094,34.75,61.84520721435547,16.010000228881836,66.81999969482422,11.425783157348633,109.9693374633789,68.16000366210938,20.114999771118164,19.700000762939453,56.76909255981445,98.0199966430664,52.380001068115234,11.359999656677246,44.939998626708984,37.81999969482422,6.4710001945495605,33.81999969482422,23.639999389648438,51.53499984741211,34.650001525878906,23.462909698486328,2008-07-03,2008
2008-07-04,4266.0,12.41258716583252,47.28163146972656,11.479999542236328,74.16500091552734,40.858306884765625,57.040000915527344,33.189998626708984,36.59000015258789,17.70953369140625,37.130001068115234,3.808000087738037,38.54999923706055,41.41999816894531,38.90999984741211,5.125,51.948665618896484,34.529998779296875,61.04588317871094,15.5,63.29999923706055,11.290509223937988,109.07279205322266,66.70999908447266,19.81999969482422,19.639999389648438,55.014808654785156,94.98999786376953,52.22999954223633,11.289999961853027,44.689998626708984,36.599998474121094,6.452000141143799,32.75,23.31999969482422,51.25,33.77000045776367,23.23065185546875,2008-07-04,2008
2008-07-07,4342.58984375,11.979252815246582,47.62052917480469,12.34000015258789,76.05000305175781,41.20744323730469,57.38999938964844,33.15999984741211,37.189998626708984,18.09547996520996,38.2400016784668,3.865999937057495,39.099998474121094,42.15999984741211,40.810001373291016,5.25,50.925048828125,35.11000061035156,60.40456771850586,15.539999961853027,64.2300033569336,11.544146537780762,112.6793441772461,67.47000122070312,20.165000915527344,19.760000228881836,53.95846176147461,94.9000015258789,50.83000183105469,11.579999923706055,45.119998931884766,36.900001525878906,6.624000072479248,33.70500183105469,23.899999618530273,52.54999923706055,34.59000015258789,23.666135787963867,2008-07-07,2008
2008-07-08,4275.60986328125,11.661476135253906,47.34376525878906,12.0600004196167,70.86000061035156,41.9528923034668,56.334999084472656,33.63999938964844,36.849998474121094,17.714418411254883,36.70000076293945,3.8420000076293945,38.209999084472656,40.900001525878906,40.25,5.050000190734863,49.90142822265625,35.470001220703125,59.75395584106445,14.550000190734863,63.869998931884766,11.169729232788086,108.62451934814453,69.12000274658203,20.274999618530273,19.1200008392334,53.27938461303711,92.45999908447266,49.81999969482422,11.760000228881836,46.0,35.900001525878906,6.4730000495910645,32.630001068115234,23.329999923706055,51.4900016784668,34.38999938964844,23.64678192138672,2008-07-08,2008
2008-07-09,4339.66015625,12.277771949768066,47.56404495239258,12.09000015258789,72.12000274658203,42.29259490966797,57.900001525878906,34.45000076293945,38.27000045776367,18.554706573486328,37.099998474121094,3.936000108718872,38.130001068115234,42.11000061035156,40.16999816894531,5.15500020980835,52.13822555541992,36.65999984741211,61.22248077392578,15.149999618530273,64.44999694824219,11.481341361999512,113.51476287841797,69.94999694824219,20.260000228881836,19.540000915527344,52.80780029296875,92.80000305175781,50.880001068115234,12.050000190734863,45.599998474121094,37.119998931884766,6.685999870300293,33.505001068115234,24.020000457763672,51.279998779296875,34.400001525878906,24.241943359375,2008-07-09,2008
2008-07-10,4231.56005859375,12.345178604125977,46.94838333129883,12.029999732971191,67.0,39.76372146606445,57.36000061035156,31.5,36.75,18.207843780517578,36.25,3.8310000896453857,36.939998626708984,41.18000030517578,39.33000183105469,5.039000034332275,51.664329528808594,36.0099983215332,56.41725158691406,14.630000114440918,62.27000045776367,11.085183143615723,114.55393981933594,67.25,19.854999542236328,18.989999771118164,51.609981536865234,89.94000244140625,50.34000015258789,11.859999656677246,45.439998626708984,34.88999938964844,6.579999923706055,31.649999618530273,23.489999771118164,49.845001220703125,33.15999984741211,24.130651473999023,2008-07-10,2008
2008-07-11,4100.64013671875,11.141475677490234,46.016422271728516,10.739999771118164,63.779998779296875,39.178680419921875,55.1150016784668,30.75,35.36000061035156,17.26007843017578,34.04999923706055,3.759999990463257,35.38999938964844,39.970001220703125,38.40999984741211,5.03000020980835,48.02479553222656,35.29999923706055,54.32600402832031,14.34000015258789,60.79999923706055,10.362918853759766,113.39250183105469,64.58000183105469,19.40999984741211,18.540000915527344,49.56331253051758,86.72000122070312,49.22999954223633,12.489999771118164,43.880001068115234,32.880001068115234,6.311999797821045,30.670000076293945,23.09000015258789,50.16999816894531,31.450000762939453,23.45323371887207,2008-07-11,2008
2008-07-14,4142.52978515625,11.420735359191895,45.84132385253906,11.399999618530273,66.06999969482422,40.00905990600586,55.8650016784668,31.190000534057617,35.900001525878906,17.680221557617188,34.790000915527344,3.674999952316284,35.86000061035156,41.189998626708984,38.56999969482422,5.107999801635742,48.79250717163086,36.20000076293945,55.76664352416992,14.40999984741211,61.900001525878906,10.568244934082031,113.31100463867188,65.27999877929688,19.40999984741211,18.770000457763672,50.930904388427734,90.52999877929688,49.939998626708984,13.350000381469727,44.459999084472656,33.90999984741211,6.420000076293945,31.05500030517578,23.25,49.68000030517578,32.119998931884766,23.806459426879883,2008-07-14,2008
